Executing: /usr/bin/kmutil showloaded
No variant specified, falling back to release
Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   38   18 0xffffff8002b22000 0x79ff4    0x79ff4    com.apple.iokit.IOUSBHostFamily (1.2) 04BC4DE6-B34C-355D-BCDD-7DFF96A1AEAF <37 36 35 27 19 17 9 8 7 6 3 1>
   39    2 0xffffff8002cfd000 0x1e000    0x1e000    com.apple.iokit.IOUSBMassStorageDriver (245) 10E3EA2C-AA0C-35C5-B352-5CDD0486386C <38 33 29 18 8 7 6 3 1>
   40    1 0xffffff8001c00000 0x7ffd     0x7ffd     com.apple.driver.AppleUSBTDM (556) A37C500C-89A6-3C05-B651-D025EE1A2B8A <39 38 34 33 29 27 9 8 7 6 3 1>
   41    0 0xffffff80019bc000 0x94ffe    0x94ffe    com.apple.driver.AppleKeyStore (2) DD1C8E37-BF50-300C-9D05-E0BCA4DCC276 <40 27 25 24 22 21 10 9 8 7 6 3 1>
   42    0 0xffffff8001a76000 0x17ffc    0x17ffc    com.apple.driver.AppleLockdownMode (1) BE305CB4-38EA-3B54-93FB-9C4ED32CD200 <24 9 8 7 6 3 1>
   43    0 0xffffff8001bb0000 0x8000     0x8000     com.apple.driver.AppleSSE (1.0) 46D8FA6F-EB8F-3379-AA53-C85D43144D9C <22 21 9 8 7 6 3 1>
   44    0 0xffffff8001f6c000 0x2ff8     0x2ff8     com.apple.Dont_Steal_Mac_OS_X (7.0.0) A2654F22-16B4-34DF-9263-F25E16FCA067 <19 10 9 8 6 3 1>
   45    2 0xffffff8001a97000 0x2ffe     0x2ffe     com.apple.kext.AppleMatch (1.0.0d1) BE634771-EC12-380F-B071-EF82AD9299A5 <8 6 3 1>
   46    3 0xffffff8002d74000 0x5eff4    0x5eff4    com.apple.security.sandbox (300.0) D9E558DD-6144-3898-968F-072A470637FE <45 29 27 9 8 7 6 3 2 1>
   47    2 0xffffff8002d68000 0x9ff1     0x9ff1     com.apple.security.quarantine (4) 48C4B2B7-F26C-353E-B4B8-52DB74A6D503 <46 45 9 8 7 6 3 2 1>
   48    0 0xffffff8001f78000 0x90ffa    0x90ffa    com.apple.iokit.EndpointSecurity (1) 5C2263E1-ED62-3CEF-AC56-603DBBBE6D39 <47 27 9 8 7 6 3 2 1>
   49    6 0xffffff80027ab000 0x2ff8     0x2ff8     com.apple.iokit.IOReportFamily (47) 8476E632-A5DB-34EC-A637-30C25D8C1767 <8 7 6 3>
   50    0 0xffffff800236d000 0x37000    0x37000    com.apple.iokit.IOBluetoothFamily (9.0.0) DF75D815-6F42-3589-B96D-23F861576D06 <49 38 17 9 8 7 6 3 1>
   51    0 0xffffff80023ea000 0xc000     0xc000     com.apple.driver.DiskImages (493.0.0) 7DF67A55-D33A-3307-8F92-0A5F6A56B786 <29 9 8 7 6 3 1>
   52    0 0xffffff80024d1000 0xfff      0xfff      com.apple.iokit.IOKitRegistryCompatibility (1) 28005F3C-6CA4-30BD-A4A3-E8D6B936FA9B <6 3>
   53   11 0xffffff8002507000 0x17ff4    0x17ff4    com.apple.iokit.IONetworkingFamily (3.4) 689F9B98-3302-3AAB-B4AB-C6DB7121FE27 <9 8 7 6 3 1>
   54    2 0xffffff8002762000 0x5000     0x5000     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) 53E09F4E-C728-3F07-8EBF-30A7FD87A436 <53 8 6 3 1>
   55    5 0xffffff8002855000 0x2dff8    0x2dff8    com.apple.iokit.IOSkywalkFamily (1.0) EE01E282-3108-3906-9021-2E0BE2E7048F <54 53 9 8 7 6 3 1>
   56    2 0xffffff8002a2f000 0x31000    0x31000    com.apple.iokit.IOTimeSyncFamily (1240.15) FFD48410-26B0-39FC-B968-3A2A3FE6601E <55 53 8 7 6 3 1>
   57   17 0xffffff8003ce0000 0x2f000    0x2f000    as.vit9696.Lilu (1.7.0) 276C35BC-B576-3049-AF11-4E11E8EBE459 <9 7 6 3 2 1>
   58    0 0xffffff8003d58000 0x83000    0x83000    as.vit9696.WhateverGreen (1.6.9) 814DE06B-69EB-3CD8-9F27-143987B41AFD <57 18 9 7 6 3 2 1>
   59    0 0xffffff8003ddb000 0x1c7000   0x1c7000   as.vit9696.AppleALC (1.9.3) 965CFADF-395A-35B3-A16F-E75BFE0A4FBE <57 18 9 7 6 3 1>
   60    1 0xffffff8003fa2000 0x14000    0x14000    aluveitie.RadeonSensor (0.3.3) C05A7C6F-BD34-300A-9139-C53245A18CAA <57 18 13 7 6 3 2 1>
   61    4 0xffffff8003d0f000 0x1a000    0x1a000    as.vit9696.VirtualSMC (1.3.4) BFFD6F7C-8AB9-3F91-9848-AC2B32211558 <57 17 9 7 6 3 1>
   62    0 0xffffff8003fc5000 0xd000     0xd000     org.ChefKiss.SMCRadeonSensors (2.3.0) A5ABA955-BA5F-3E70-A336-12DE8B2F8F58 <61 57 18 13 7 6 3 2 1>
   63    0 0xffffff8004b09000 0xb000     0xb000     as.acidanthera.BlueToolFixup (2.6.9) FCA8F207-415F-3D4C-ADA9-4F8A849160BB <57 9 7 6 3 2 1>
   64    0 0xffffff8005a7a000 0xcf000    0xcf000    com.dhinakg.AMFIPass (1.4.1) 7DF1CDFC-7EFE-3D82-A3A2-7DACE8B1D097 <57 9 8 7 6 3 2 1>
   65    0 0xffffff8005b49000 0xc000     0xc000     com.khronokernel.FeatureUnlock (1.1.7) B514E3FF-9C6B-3EBE-B417-4BFD14D6B1A4 <57 9 7 6 3 2 1>
   66    0 0xffffff8005b55000 0xf000     0xf000     as.lvs1974.HibernationFixup (1.5.2) F4598571-9813-3012-8268-8C683CB9D142 <57 9 7 6 3 2 1>
   67    0 0xffffff8005b64000 0x8000     0x8000     com.cdf.Innie (1.3.1) 98EEAEC2-A4B4-3BB4-8C65-A7CBA113AF1F <6 3>
   68    0 0xffffff8005b6c000 0xf000     0xf000     com.zxystd.IntelBTPatcher (2.4.0) 06D53ACB-3381-3B25-BBA8-403841B1AE25 <57 38 9 7 6 3 2 1>
   69    0 0xffffff8005b7b000 0x9000     0x9000     com.github.whatdahopper.IntelMKLFixup (1.0.0) 6C714620-A50F-3471-B0C8-2EA3D6866222 <57 9 7 6 3 2 1>
   70    0 0xffffff8005b84000 0xd000     0xd000     org.acidanthera.NVMeFix (1.1.2) 410067B1-A0A4-3C9D-B955-B89AADE63884 <57 9 7 6 3 2 1>
   71    0 0xffffff8005b91000 0xd000     0xd000     as.vit9696.RestrictEvents (1.1.5) 7B679FDE-3DCE-37E1-B992-31F11D03E4D7 <57 9 7 6 3 2 1>
   72    1 0xffffff8003d29000 0x20000    0x20000    wtf.spinach.AMDRyzenCPUPowerManagement (0.7.2) E518DA40-95C5-3294-A0E0-7D831B9A825C <57 18 13 9 7 6 3 2 1>
   73    0 0xffffff80013a4000 0x7ff4     0x7ff4     com.apple.nke.applicationfirewall (405) 3D5A4BCB-F8C6-34C6-87DA-F9B47C256245 <9 8 7 6 3 1>
   74    0 0xffffff8001c2b000 0xefff     0xefff     com.apple.AppleSystemPolicy (2.0.0) F0D0AE80-BD01-39F7-9088-74BF1943986C <47 46 27 9 8 7 6 3 2 1>
   75    0 0xffffff800146a000 0x2000     0x2000     com.apple.driver.AppleAPIC (1.7) 58DAF093-4F07-3976-9D9A-AFDD41C78F16 <18 6 3>
   76    0 0xffffff8001b84000 0x2ffe     0x2ffe     com.apple.driver.AppleSMBIOS (2.1) 5FFA24B7-4497-350C-A801-DD6F2E809F22 <9 6 3>
   77    6 0xffffff8002435000 0x64000    0x64000    com.apple.iokit.IOHIDFamily (2.0.0) 6EC65A93-7887-30A0-9B56-CDF09B0BDF99 <49 9 8 7 6 3 2 1>
   78    0 0xffffff8001434000 0x2ffa     0x2ffa     com.apple.driver.AppleACPIButtons (6.1) 97F5CA41-0514-3867-8BDA-A673962C7B65 <77 49 20 17 9 8 7 6 3 1>
   79    1 0xffffff80018b0000 0x2000     0x2000     com.apple.driver.AppleEFIRuntime (2.1) 4F1B7509-6D5A-31FC-ACEA-3611ED888BC2 <23 9 8 7 6 3>
   80    0 0xffffff8001920000 0x1ff4     0x1ff4     com.apple.driver.AppleHPET (1.8) 6D9A23ED-DD30-3B8E-BF51-B085D5A6BA77 <17 9 7 6 3>
   81    0 0xffffff8001b45000 0x5ff4     0x5ff4     com.apple.driver.AppleRTC (2.0.1) 7B04C6DA-073F-33A4-B9D4-A007AF78F24F <17 9 7 6 3 1>
   82    0 0xffffff8005a72000 0x8000     0x8000     com.osy86.USBWakeFixup (1) 36390E0E-C19D-3B81-BDAD-AB8C7A147B8C <17 6 3>
   83    2 0xffffff80018b4000 0xb000     0xb000     com.apple.driver.AppleEFINVRAM (2.1) 94B0A0E7-BA52-30BC-B65B-30282BF844E4 <79 9 8 7 6 3 1>
   84    0 0xffffff8005b9e000 0x23000    0x23000    ru.joedm.SMCSuperIO (1.3.4) BEDC76E4-8492-337E-BB04-A7813DFDCEEF <61 57 17 9 7 6 3 2 1>
   85    0 0xffffff80024d4000 0x2b000    0x2b000    com.apple.iokit.IONVMeFamily (2.1.0) 84BE3395-A4F7-3E89-8408-FFE2986C5EE6 <49 29 27 18 9 8 7 6 3 1>
   86    1 0xffffff8002c4d000 0x3fffc    0x3fffc    com.apple.driver.usb.AppleUSBXHCI (1.2) CF8ED408-B46D-3282-844B-E8960C94246B <38 36 17 9 8 7 6 3 1>
   87    0 0xffffff8002c98000 0x24ff5    0x24ff5    com.apple.driver.usb.AppleUSBXHCIPCI (1.2) 9D9A609E-AA15-378D-9115-87C1E9D0722E <86 38 36 18 17 9 8 7 6 3 1>
   88    1 0xffffff8002300000 0x10000    0x10000    com.apple.iokit.IOAHCIFamily (304) C85EF159-2AD1-39B0-A48A-684E6B828316 <7 6 3 1>
   89    0 0xffffff8001444000 0xf000     0xf000     com.apple.driver.AppleAHCIPort (380) 47459AFD-6D35-3FE9-B1F6-387B5FBF518C <88 18 7 6 3 1>
   90    0 0xffffff8001e09000 0x3000     0x3000     com.apple.driver.AppleXsanScheme (3) F627D7B2-E321-3D84-B5C4-186781A483AA <29 7 6 3 1>
   91    1 0xffffff8002df3000 0x1b4ff0   0x1b4ff0   com.apple.filesystems.apfs (2236.141.1) 1DE36842-A9FE-3450-8571-67DD887502CF <83 31 29 26 23 10 9 8 7 6 3 2 1>
   92    1 0xffffff800275d000 0x1fff     0x1fff     com.apple.iokit.IOEthernetAVBController (1.1.0) 78AE0817-2F2A-3FFD-B4C9-0689EDE281E0 <53 7 6 3 1>
   93    0 0xffffff8003fd2000 0x3a000    0x3a000    com.apple.driver.AppleIntelI210Ethernet (2.3.1) 3EE6120C-A86E-352C-8C36-6C65046A4EB0 <92 54 53 18 7 6 3 1>
