Executing: /usr/bin/kmutil showloaded
No variant specified, falling back to release
Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  152    0 0xffffff7f957e8000 0x4fff     0x4fff     com.apple.iokit.IOUserEthernet (1.0.1) 360E4051-4D85-366A-AF36-6F9C429BD29D <53 8 7 6 3 1>
  153    0 0xffffff7f95a45000 0xa5000    0xa5000    com.apple.filesystems.nfs (1) 6E1591EF-C4BC-360B-9DDE-3973ABB277E8 <140 10 9 8 7 6 3 1>
  154    0 0xffffff7f95af0000 0x9000     0x9000     com.apple.driver.pmtelemetry (1) F513AC3E-8376-3C88-8FD4-BC15249AF633 <9 8 7 6 3 1>
  156    0 0xffffff7f9526c000 0x1000     0x1000     com.apple.driver.AppleSMBusPCI (1.0.14d1) 39845D9A-A618-31ED-98F9-5F906ACDCD75 <18 7 6 3>
  157    0 0xffffff7f94ac1000 0x2000     0x2000     com.apple.AGDCPluginDisplayMetrics (8.1.9) 224F44B6-9539-3B07-B7C6-7FA345B15D48 <136 9 8 7 6 3 1>
  158    1 0xffffff7f94ab8000 0xfff      0xfff      com.apple.driver.AppleGraphicsControl (8.1.9) 33A942E7-9920-3635-8568-6DD95E7A0ED0 <9 7 6 3 1>
  159    0 0xffffff7f94ad9000 0xd000     0xd000     com.apple.driver.AppleGraphicsDevicePolicy (8.1.9) 9C282EA8-7D37-3E88-9F78-C47C61C34DEC <158 136 135 18 17 9 8 7 6 3 1>
  160    2 0xffffff7f95bd7000 0xc1fec    0xc1fec    com.apple.vecLib.kext (1.2.0) 3D7AC082-55CF-3396-9163-0067C5020A8F <13 9 8 7 6 3>
  161    6 0xffffff7f9552f000 0x1e000    0x1e000    com.apple.iokit.IOAudioFamily (540.3) DDD838AD-FE64-30D3-AF69-05F2283760B0 <160 7 6 3 1>
  162    2 0xffffff7f94d2c000 0x3ffc     0x3ffc     com.apple.iokit.IOHDAFamily (540.3) 10454ED4-12D5-33BF-9C81-EC8017A6C259 <7 6 3 1>
  163    1 0xffffff7f94c0e000 0x12ff4    0x12ff4    com.apple.driver.AppleHDAController (540.3) B338D1FB-EAF8-31AE-856E-7CDC7284C492 <162 161 135 18 9 8 7 6 3 1>
  166    0 0xffffff7f94a3f000 0x5f000    0x5f000    com.apple.driver.AppleGFXHDA (340.1) 7A6F73EC-B35A-323F-97F5-AF0945D70BF1 <161 142 135 18 9 8 7 6 3 1>
  167    0 0xffffff7f8cfe4000 0x2ffb     0x2ffb     com.apple.kext.AMDRadeonX6000HWServices (5.0.5) ECB7D3AC-B4F5-394C-850F-7D08E8AEE268 <135 18 17 9 7 6 3 1>
  168    0 0xffffff7f80fbd000 0x2ff8     0x2ff8     com.apple.kext.AMDRadeonServiceManager (5.0.5) 8FEF9243-D46E-3591-8A61-6969B8B9D34C <18 6 3 1>
  169    0 0xffffff7f93193000 0x455ffc   0x455ffc   com.apple.kext.AMDRadeonX6800HWLibs (1.0) 680A123D-0B80-3C9A-8D20-09C8A43D44DE <18 7 6 3 1>
  170    1 0xffffff7f9580a000 0xf000     0xf000     com.apple.kext.OSvKernDSPLib (530) 0E138D34-E204-333B-A600-DE542F3E264B <8 7 6 3>
  171    1 0xffffff7f94c3e000 0xdcff8    0xdcff8    com.apple.driver.DspFuncLib (540.3) ECCDCACD-8737-3256-AFB2-8C308356F703 <170 161 160 83 8 7 6 3 1>
  172    0 0xffffff7f94b57000 0x8fff0    0x8fff0    com.apple.driver.AppleHDA (540.3) 5DD73EA7-79F3-3F4A-AEE5-F5E02812417F <171 163 162 161 142 135 8 7 6 3 1>
  173    1 0xffffff7f94a03000 0xffb      0xffb      com.apple.driver.AppleAudioClockLibs (340.8) 7B9C4524-52E0-3D58-82B7-BEBFEE723810 <9 7 6 3 1>
  174    0 0xffffff7f95310000 0x51ff4    0x51ff4    com.apple.driver.AppleUSBAudio (640.12) 599A74E2-9FA4-3A49-B6B7-6FC30517116F <173 161 113 38 37 18 8 7 6 3 1>
  175    1 0xffffff7f954a9000 0x6affc    0x6affc    com.apple.iokit.IOAcceleratorFamily2 (481.40.2) D4E64BC5-BB33-38C7-A445-932573231969 <135 107 49 27 18 9 8 7 6 3 1>
  176    0 0xffffff7f8cb38000 0x157ff8   0x157ff8   com.apple.kext.AMDRadeonX6000 (5.0.5) 3B21768F-93E9-3C3C-A6EE-BBF8AE15E594 <175 135 107 18 9 7 6 3 1>
  177    0 0xffffff7f94c25000 0x1000     0x1000     com.apple.driver.AppleHDAHardwareConfigDriver (540.3) A6ECFF36-D56D-331F-9233-9A7B2F2EE6BB <6 3>
  178    1 0xffffff8002840000 0xffe      0xffe      com.apple.iokit.IOSMBusFamily (1.1) 3D75C6A0-5AFF-38E5-89B6-CF5F96104E8A <7 6 3>
  179    1 0xffffff7f95260000 0x6ffd     0x6ffd     com.apple.driver.AppleSMBusController (1.0.18d1) B7BB13CF-C689-38C1-97A8-44BC649CBFAB <178 18 17 7 6 3>
  180    0 0xffffff7f95202000 0xb000     0xb000     com.apple.driver.AppleMCCSControl (1.17) 2E14E11B-877E-32AB-8082-58B4B0286FF8 <179 135 19 18 17 9 7 6 3 1>
  181    0 0xffffff7f95394000 0x3000     0x3000     com.apple.driver.AppleUpstreamUserClient (3.6.11) 2A3DC2E9-AB65-3631-9635-04DBCCDCB810 <135 18 17 9 7 6 3 1>
  182    1 0xffffff7f956de000 0x6000     0x6000     com.apple.driver.X86PlatformShim (1.0.0) E9E28B4F-5C28-39C4-815E-90AD5B9293F6 <123 122 19 9 6 3>
  183    0 0xffffff7f94b33000 0x1eff8    0x1eff8    com.apple.driver.AGPM (135) 7548381A-1025-3B9B-805B-284A93E3E6DB <142 136 135 122 18 8 7 6 3 1>
  184    0 0xffffff7f95251000 0x1fff     0x1fff     com.apple.driver.ApplePlatformEnabler (2.7.0d0) 261587A3-ECFC-3763-9E09-12E51BDDA661 <9 7 6 3>
  185    0 0xffffff7f95435000 0x13ff9    0x13ff9    com.apple.iokit.IOAVBFamily (1220.1) 643A2C19-705A-3029-A39B-5FFCA5317148 <131 56 53 8 7 6 3 1>
  186    0 0xffffff7f953a3000 0x3000     0x3000     com.apple.driver.AudioAUUC (1.70) 0F0A8259-48EF-3D1D-8616-C47521BECD56 <161 135 18 17 9 7 6 3 1>
