2025-06-19 04:10:55 +0100 DarkWake            	DarkWake from Normal Sleep [CDN] : due to RTC0/Maintenance Using AC (Charge:0%) 45 secs   
2025-06-19 04:11:40 +0100 Sleep               	Entering Sleep state due to 'Maintenance Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 21804 secs
2025-06-19 10:15:04 +0100 DarkWake            	DarkWake from Normal Sleep [CDN] : due to XHC2/ Using AC (Charge:0%) 4 secs    
2025-06-19 10:15:08 +0100 Wake                	DarkWake to FullWake from Normal Sleep [CDNVA] : due to HID Activity Using AC (Charge:0%)           
2025-06-19 12:17:49 +0100 Sleep               	Entering Sleep state due to 'Idle Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 369 secs  
2025-06-19 12:23:58 +0100 DarkWake            	DarkWake from Normal Sleep [CDN] : due to RTC0/Maintenance Using AC (Charge:0%) 45 secs   
2025-06-19 12:24:43 +0100 Sleep               	Entering Sleep state due to 'Maintenance Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 2210 secs 
2025-06-19 13:01:33 +0100 DarkWake            	DarkWake from Normal Sleep [CDN] : due to XHC2/ Using AC (Charge:0%) 9 secs    
2025-06-19 13:01:42 +0100 Wake                	DarkWake to FullWake from Normal Sleep [CDNVA] : due to HID Activity Using AC (Charge:0%)           
2025-06-19 14:05:31 +0100 Sleep               	Entering Sleep state due to 'Idle Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 15153 secs
2025-06-19 18:18:04 +0100 DarkWake            	DarkWake from Normal Sleep [CDN] : due to XHC2/ Using AC (Charge:0%) 45 secs   
2025-06-19 18:18:49 +0100 Sleep               	Entering Sleep state due to 'Maintenance Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 8292 secs 
2025-06-19 20:37:01 +0100 DarkWake            	DarkWake from Normal Sleep [CDN] : due to RTC0 GPP2 EP00/Maintenance Using AC (Charge:0%) 45 secs   
2025-06-19 20:37:46 +0100 Sleep               	Entering Sleep state due to 'Maintenance Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 34 secs   
2025-06-19 20:38:20 +0100 DarkWake            	DarkWake from Normal Sleep [CDN] : due to GPP2 EP00/ Using AC (Charge:0%) 45 secs   
2025-06-19 20:39:05 +0100 Sleep               	Entering Sleep state due to 'Maintenance Sleep':TCPKeepAlive=inactive Using AC (Charge:0%) 7188 secs 
2025-06-19 22:38:53 +0100 DarkWake            	DarkWake from Normal Sleep [CDN] : due to XHC2/ Using AC (Charge:0%) 6 secs    
2025-06-19 22:38:59 +0100 Wake                	DarkWake to FullWake from Normal Sleep [CDNVA] : due to HID Activity Using AC (Charge:0%)           
